id,price_doc
30474,6017243.087
30475,9955091.569
30476,7102640.14
30477,8650022.068
30478,5305787.081
30479,9780562.135
30480,5831804.656
30481,4099155.23
30482,7812219.703
30483,4293317.641
30484,7869822.263
30485,4907480.768
30486,3780818.121
30487,3247870.382
30488,5722528.378
30489,6856351.615
30490,15344525.25
30491,15116289.22
30492,5182205.389
30493,15186599.96
30494,6844473.832
30495,12428077.69
30496,9576693.288
30497,11856523.29
30498,3841170.795
30499,9330185.42
30500,11768398.06
30501,8357616.158
30502,3966204.689
30503,8819085.045
30504,6107341.496
30505,12923079.57
30506,3268785
30507,4745802.091
30508,8075519.268
30509,7998953.064
30510,10859272.81
30511,7511097.858
30512,5838909.726
30513,6438872.764
30514,2924309.683
30515,10769265.76
30516,7970148.205
30517,12850822.65
30518,7471414.928
30519,6566091.6
30520,6774935.225
30521,3803126.864
30522,7816583.338
30523,9728582.186
30524,9664033.95
30525,20411740.39
30526,4185882.264
30527,5714710.166
30528,8606208.436
30529,9841606.67
30530,6833825.04
30531,12896888.9
30532,5104076.904
30533,15250632.15
30534,7256595.178
30535,10997536.79
30536,7152984.942
30537,11458298.69
30538,6753993.447
30539,8643418.94
30540,11728237.16
30541,9903304.004
30542,1315699.615
30543,6040717.639
30544,8498782.158
30545,9912198.261
30546,2670281.621
30547,8159453.604
30548,4846915.424
30549,6396001.88
30550,12305881.95
30551,5492745.558
30552,1019160.652
30553,9151109.904
30554,11074150.23
30555,8331118.631
30556,9878987.461
30557,9840190.514
30558,9761409.467
30559,7354982.539
30560,9537191.026
30561,9445749.634
30562,12049056.91
30563,5752712.186
30564,9048127.487
30565,7699303.707
30566,9212943.581
30567,1108784.283
30568,10840884.98
30569,9710419.183
30570,6482339.601
30571,8813552.633
30572,5084161.646
30573,9353248.271
30574,8935389.185
30575,10963796.23
30576,5222413.316
30577,5183816.22
30578,3836945.824
30579,9755544.979
30580,5219125.768
30581,5314461.174
30582,14434768.62
30583,7315004.433
30584,5194013.162
30585,2799300.649
30586,9693257.943
30587,6213494.446
30588,10610937.29
30589,6428965.607
30590,12585661.58
30591,5143240.966
30592,8579686.465
30593,9050425.221
30594,8383124.512
30595,5155840.932
30596,6714279.229
30597,9286748.389
30598,11257580.5
30599,12540731.79
30600,8603448.206
30601,9376001.415
30602,1121347.878
30603,14228995.44
30604,5817818.692
30605,8472395.635
30606,14197553.47
30607,9465102.369
30608,10145770.11
30609,6547551.102
30610,4021692.007
30611,7547216.775
30612,7151589.609
30613,10618565.44
30614,16185851.9
30615,8241237.276
30616,7914012.446
30617,9893787.298
30618,5879165.72
30619,4806709.678
30620,3661375.545
30621,10120854.64
30622,13389736.54
30623,6969525.991
30624,7385997.793
30625,7452585.287
30626,7896581.259
30627,10415738.18
30628,8819091.575
30629,5814835.068
30630,4466245.942
30631,6731136.12
30632,3885775.319
30633,5667954.806
30634,9985834.973
30635,11575074.9
30636,6376827.313
30637,10565667.28
30638,8127636.218
30639,13456547.06
30640,4463521.446
30641,10617754.89
30642,7186421.207
30643,10142215.21
30644,11272442.36
30645,8272964.105
30646,4619097.961
30647,4709685.628
30648,17275235.27
30649,3767113.847
30650,4551287.761
30651,3296830.667
30652,4831231.794
30653,10432747.09
30654,5525828.366
30655,17772994.33
30656,5127143.148
30657,7637555.13
30658,9438275.633
30659,4063048.374
30660,9833816.487
30661,6479900.119
30662,8051318.366
30663,13342784.64
30664,18079372.89
30665,7874534.262
30666,2308288.031
30667,3036881.43
30668,8947389.647
30669,7043669.225
30670,114553.7717
30671,8390489.47
30672,19210566.48
30673,10567549.03
30674,13314970.04
30675,1377495.65
30676,10538407.54
30677,4963387.58
30678,14053252.83
30679,8420106.233
30680,6649486.738
30681,2761521.744
30682,9981275.293
30683,11833602.28
30684,7180276.425
30685,6907895.229
30686,10112517.14
30687,4593700.027
30688,4722550.563
30689,20790744.33
30690,17374846.06
30691,4695924.402
30692,8556805.979
30693,10871417.74
30694,9647202.951
30695,8179622.043
30696,6502649.355
30697,12076465.87
30698,7877998.752
30699,6920498.851
30700,4572155.803
30701,11198023.15
30702,5675355.409
30703,4445669.13
30704,11051623.9
30705,9848730.373
30706,16437675.2
30707,5935412.264
30708,14270639.22
30709,7764891.643
30710,8294988.041
30711,6711702.142
30712,4836922.947
30713,8619264.341
30714,6813399.973
30715,5805004.839
30716,11826179.03
30717,7463299.498
30718,10407634.73
30719,17669928.02
30720,9717393.14
30721,11776107.64
30722,11524963.28
30723,8091587.042
30724,11978885.79
30725,7423607.027
30726,12537594.76
30727,11345760.85
30728,7771170.004
30729,5617742.996
30730,7062139.904
30731,7995601.784
30732,2678000.289
30733,10041684.51
30734,7843004.221
30735,5755845.116
30736,8428642.405
30737,6841007.085
30738,6102538.45
30739,1568626.191
30740,6907203.719
30741,12062281.3
30742,5588144.396
30743,5316133.724
30744,9958682.512
30745,11276534.95
30746,6073309.857
30747,23717173.41
30748,12891849.47
30749,4561784.692
30750,7105651.345
30751,3880736.831
30752,12445874.11
30753,9111055.988
30754,6048364.273
30755,6468373.398
30756,8263610.934
30757,5240864.388
30758,14007115.19
30759,8904202.481
30760,3982186.753
30761,14903811.13
30762,6697081.158
30763,13033455.17
30764,7072526.648
30765,7059154.904
30766,4515927.367
30767,9341565.734
30768,6035247.034
30769,8653784
30770,8179780.996
30771,2987911.612
30772,9838510.591
30773,10212289.72
30774,7758742.159
30775,12394110.99
30776,5410916.245
30777,6331148.021
30778,11792276.77
30779,8485460.414
30780,7298576.491
30781,8379865.263
30782,6445545.29
30783,6871204.406
30784,3521532.87
30785,4832986.823
30786,5070603.832
30787,8447720.565
30788,6689515.79
30789,7969243.842
30790,8379257.624
30791,10378028.7
30792,7859886.791
30793,8973945.802
30794,12702682.52
30795,14439783.87
30796,12656392.12
30797,15036658.8
30798,2409417.48
30799,9228851.62
30800,15437693.43
30801,7445570.883
30802,22954254.56
30803,3393277.744
30804,3713396.795
30805,14699004.44
30806,8085537.359
30807,5635583.648
30808,10427619.96
30809,6340480.27
30810,9700020.128
30811,4636869.152
30812,5670171.812
30813,7871169.392
30814,2510148.225
30815,3107875.108
30816,10364578.45
30817,894728.291
30818,9427053.765
30819,6275110.877
30820,6592025.951
30821,13732073.37
30822,15191065.27
30823,7211329.719
30824,4119540.36
30825,7081786.156
30826,8441576.875
30827,5764575.758
30828,6310249.04
30829,6844714.069
30830,10162344.55
30831,6035886.729
30832,6020478.434
30833,3701919.212
30834,4454261.824
30835,7924770.317
30836,7935808.051
30837,5212630.295
30838,5236970.204
30839,9161862.18
30840,12164352.88
30841,12080087.09
30842,8534279.378
30843,7112653.085
30844,8423677.559
30845,12340186.36
30846,5388298.613
30847,6096078.341
30848,9768347.336
30849,4082522.824
30850,3726405.493
30851,4924800.688
30852,7574434.129
30853,6111630.726
30854,6566434.45
30855,5372703.039
30856,8718412.531
30857,3133625.651
30858,5764754.922
30859,6270543.641
30860,6210810.767
30861,9455186.393
30862,8555009.544
30863,8428958.934
30864,6689455.463
30865,9754856.718
30866,5809961.877
30867,6502159.99
30868,10080101.67
30869,4047629.408
30870,8685830.083
30871,10701420.49
30872,4963561.117
30873,2938828.733
30874,6035463.18
30875,8278140.104
30876,4679496.208
30877,11536350.81
30878,6324165.613
30879,14166225.27
30880,7610771.701
30881,898830.0834
30882,9443641.451
30883,5489094.941
30884,6957982.103
30885,4635621.744
30886,9701501.351
30887,7195129.876
30888,4802357.574
30889,4669797.258
30890,9677133.421
30891,4054150.376
30892,4377596.514
30893,6147251.157
30894,7575241.32
30895,5287171.83
30896,8994640.53
30897,10408242.52
30898,8355906.932
30899,6738356.505
30900,3952161.125
30901,5195316.729
30902,1205736.34
30903,9219061.022
30904,7610625.065
30905,6569102.968
30906,3889125.796
30907,14055413.83
30908,3772320.612
30909,10986611.06
30910,9432590.874
30911,4685829.4
30912,5709114.41
